Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
8,genre,kind
10,frère,brother
12,car,because
14,aucun,no
15,laisse,leash
16,eux,them
17,ville,city
20,devrait,should
22,longtemps,long time
23,heures,hours
24,vont,will
25,pendant,while
26,revoir,meet again
27,aucune,any
28,place,square
29,parle,speak
30,compris,understood
31,savais,knew
32,étaient,were
33,attention,Warning
34,voici,here is
35,pourrais,could
36,affaire,case
38,type,type
40,donné,given
41,train,train
43,endroit,place
44,yeux,eyes
45,façon,way
47,dont,whose
51,main,hand
52,première,first
54,pouvoir,power
56,sois,be
57,tiens,here
59,tellement,so much
62,venu,came
63,suite,after
64,pardon,sorry
65,venez,come
67,vers,towards
68,minutes,minutes
69,demandé,request
70,chambre,bedroom
71,mis,placed
72,belle,beautiful
73,droit,law
75,aujourd'hui,today
76,mari,husband
79,espère,hope
81,attendez,Wait
83,nouvelle,new
84,boulot,job
85,arrêter,Stop
86,dirait,would say
87,terre,Earth
88,compte,account
90,loin,far
92,croire,believe
94,gros,large
97,filles,girls
